country,total_with_disorder,yes_discuss,percent_discuss_with_disorder,point_size,avg_hdi_country,avg_health_exp_country,life_satisfaction_score_country,freedom_life_choices_country,social_support_country,healthy_life_expectancy_country,gdp_log_country,generosity_country,corruption_perception_country,region
Australia,1,1.0,1.0,1.0,0.9432,10.32591362,7.213559955596923,0.648292397816976,1.2520487559636433,0.8652025613784801,1.55446547762553,0.291324537674586,0.33133213973045333,Oceania
Brazil,3,1.0,0.3333333333333333,1.7320508075688772,0.7596,9.724712754,6.343519972229004,0.5144309095541637,1.11715470568339,0.650706354300181,1.1475599575042723,0.13489152924219766,0.11917286795377734,South America
Canada,12,6.0,0.5,3.4641016151377544,0.9306000000000001,11.637967872,7.193220001983642,0.6503427090644837,1.2224639676411932,0.86783398183187,1.5448825543721532,0.2481763066450753,0.35156728521982833,North America
Colombia,1,0.0,0.0,1.0,0.7614,8.16313038,6.068280034637452,0.5419633464813233,1.0431503200531,0.7150067162513732,1.135067903359731,0.0931246979435285,0.06194945653279623,South America
Finland,2,0.0,0.0,1.4142135623730951,0.9378,9.446000000000002,7.774540016937256,0.6964389131863914,1.2878419682184867,0.8257571350733439,1.54106316979726,0.130890147447586,0.497619087298711,Europe
France,3,2.0,0.6666666666666666,1.7320508075688772,0.9026,11.61807537,6.6243599525451655,0.5390169669787089,1.25294639269511,0.8805714089075733,1.51737644958496,0.09153590087095902,0.24276774557431535,Europe
Germany,9,3.0,0.3333333333333333,3.0,0.9474,12.031776046000001,7.04295998840332,0.5830913774172467,1.14984791469574,0.8350382671356199,1.5727281821568802,0.20334590133031202,0.3244540974299113,Europe
Indonesia,1,0.0,0.0,1.0,0.7114,3.155482912,5.231120037078858,0.5953871426582337,0.9412669639587401,0.5274790118535361,1.0759069040616354,0.5172155090967814,0.0437595377465089,Asia
Ireland,1,0.0,0.0,1.0,0.9410000000000001,6.831300926,7.043539986419678,0.6069266463915507,1.24286547756195,0.8358902317682904,1.7399622592926034,0.24114233152071632,0.38281108736991865,Europe
Mexico,1,0.0,0.0,1.0,0.77,5.717948054,6.398600030517578,0.586630850950877,0.9807778329849234,0.6962003412246703,1.2341291596094768,0.08903149503469467,0.09571122256914773,North America
Netherlands,6,4.0,0.6666666666666666,2.449489742783178,0.9390000000000001,10.553999999999998,7.451380044555664,0.6372088267008463,1.24954864501953,0.838558448155721,1.5949821141560865,0.30310585633913667,0.39052325383822134,Europe
Norway,2,2.0,1.0,1.4142135623730951,0.9613999999999999,10.426,7.478599983215332,0.7004002947807314,1.2807241668701168,0.8586906331380201,1.6547357765833535,0.2513283621470133,0.44503352276484165,Europe
Philippines,1,1.0,1.0,1.0,0.7034,4.622,5.789000008392334,0.6503050538698834,0.9951272376378366,0.514063160419464,0.9653735585212706,0.12042007072766632,0.13279524223009734,Asia
Portugal,2,2.0,1.0,1.4142135623730951,0.861,9.984,5.791780023193359,0.621965062936147,1.11884344959259,0.838771760304769,1.4172669436136867,0.032678982267777136,0.0332444885522127,Europe
Spain,5,3.0,0.6,2.23606797749979,0.8994,9.714632798,6.406379977416992,0.46432793879508966,1.2296997286478666,0.8951143611272167,1.4711784229278566,0.13376849345366168,0.12752659306923533,Europe
Switzerland,2,2.0,1.0,1.4142135623730951,0.9587999999999999,11.282841682,7.521979961395265,0.6529848233858743,1.2591344690322865,0.8928443950017299,1.6609247500101734,0.20668525131543466,0.4273153003851573,Europe
United Kingdom,31,21.0,0.6774193548387096,5.5677643628300215,0.9282,10.761525918,7.007900047302246,0.5673895524342853,1.22094832420349,0.827566693464915,1.5210203456878666,0.334144480307897,0.319200548728307,Europe
United States of America,470,219.0,0.46595744680851064,21.6794833886788,0.9269999999999999,17.23634796,6.929119998168946,0.554202748298645,1.20559556865692,0.6935393369992573,1.6296622800827034,0.2567143530050913,0.16109491380055732,
